scorer,jamie,jamie,jamie,jamie,jamie,jamie,jamie,jamie
bodyparts,eyes,eyes,swimbladder,swimbladder,midtail,midtail,endtail,endtail
coords,x,y,x,y,x,y,x,y
labeled-data/06-Sep-20_00172_sap_unaffected/img265.png,515.9240705540178,451.82684193978565,489.247002359117,415.40532723340124,463.17928368192514,373.00947707708923,425.36676867764686,312.5667447596444
labeled-data/06-Sep-20_00172_sap_unaffected/img289.png,516.7436413901048,454.3550616685516,490.19726114277626,416.53556104222054,464.37817898441557,375.07956997104986,426.5586783580844,312.5319343198099
labeled-data/06-Sep-20_00172_sap_unaffected/img343.png,514.7551988211105,454.5117048649997,490.49670100440454,415.6981083582702,459.44582379902096,367.1811127248584,427.42460668096913,312.51863097788106
labeled-data/06-Sep-20_00172_sap_unaffected/img400.png,515.6670323537148,452.17055424519765,490.29565881796,417.106745875559,459.5079246397407,367.5042852550946,427.57990401047624,313.05560721768825
labeled-data/06-Sep-20_00172_sap_unaffected/img411.png,516.0824278349069,453.69685689803566,489.9526907139217,416.6521662961327,458.86161110161026,364.39269205416235,427.109019157122,311.80246164610367
labeled-data/06-Sep-20_00172_sap_unaffected/img557.png,515.7911637754723,452.7002591411875,490.95549892169225,416.44018845466854,458.66913461177813,365.0303622073437,426.382770301864,313.62053596001897
labeled-data/06-Sep-20_00172_sap_unaffected/img588.png,516.4282402592352,453.3907338431012,489.3829846895743,415.79782860127267,457.199130561678,362.51867512904084,423.1221085439053,315.1894778821344
labeled-data/06-Sep-20_00172_sap_unaffected/img598.png,516.382121245806,453.5808912278701,490.29441391388184,416.17803372788245,459.17775095170714,363.68830933714344,421.1462739979382,317.1704697573268
labeled-data/06-Sep-20_00172_sap_unaffected/img631.png,504.11670130304185,470.4046117408336,501.95490823960205,429.6393711159692,464.586771000143,376.52102727144893,425.36566827773555,336.06461422707594
labeled-data/06-Sep-20_00172_sap_unaffected/img655.png,366.4780261927633,436.6557890851518,405.6496517886894,413.7837660861882,449.8163168901363,370.40579143298146,496.08615652022354,399.587338017866
labeled-data/06-Sep-20_00172_sap_unaffected/img664.png,315.09293852260276,401.20704113819,350.3705506018124,429.4291308015577,390.09052864655206,458.69648304505006,429.0265597561982,416.3633485499986
labeled-data/06-Sep-20_00172_sap_unaffected/img681.png,227.92699932183953,419.1076082130783,264.8320865239892,427.88381797456515,315.0140038781317,400.6550646120035,371.7218207985079,406.5058711196614
labeled-data/06-Sep-20_00172_sap_unaffected/img687.png,204.3710473760682,409.9353126110155,237.65864031234804,429.85743262591023,289.10310212296235,431.8748625008363,331.97348696514086,388.50012018992624
labeled-data/06-Sep-20_00172_sap_unaffected/img708.png,176.80230091061986,424.4904429326866,203.278065861693,408.3661048797774,243.88750984679763,406.5745117627875,277.5296472658304,432.6521449100851
labeled-data/06-Sep-20_00172_sap_unaffected/img774.png,171.9819891989191,431.0991936068056,210.09387096654382,420.70504403381705,252.24792201255298,406.26872518244403,283.1416443544912,369.31174892292916
labeled-data/06-Sep-20_00172_sap_unaffected/img797.png,188.83651471853074,401.6079318808487,220.73466173624237,396.5447339415294,261.07147198615286,390.8064429436342,288.75028738776507,371.90383730350874
labeled-data/06-Sep-20_00172_sap_unaffected/img812.png,174.9486542535617,436.3178067128178,215.9313468047059,420.6413669391561,264.30436096343345,391.9758770673176,316.48451049576454,386.15319943710034
labeled-data/06-Sep-20_00172_sap_unaffected/img841.png,180.97536539362866,423.88039459737246,222.37470761867368,422.08042319628356,267.7339869261143,399.76077782278105,288.97364945896345,350.081567152727
labeled-data/06-Sep-20_00172_sap_unaffected/img872.png,179.26906436332155,424.4505377925173,217.07427564357238,413.2271156936929,264.03543653075894,402.88975323424927,313.65477633608816,391.3709779222978
labeled-data/06-Sep-20_00172_sap_unaffected/img931.png,183.22178986082122,415.6674349105149,223.10312867217328,415.6674349105149,274.88622828063046,409.40335028045956,327.2957363520931,425.68997031860334
