scorer,jamie,jamie,jamie,jamie,jamie,jamie,jamie,jamie
bodyparts,eyes,eyes,swimbladder,swimbladder,midtail,midtail,endtail,endtail
coords,x,y,x,y,x,y,x,y
labeled-data/v00165/img03.png,192.4561903328459,193.51702932828758,153.3781822482153,198.2697600412832,99.51390083426502,200.91016599294744,37.20032037498919,187.18005504429343
labeled-data/v00165/img04.png,188.759622000516,185.5958114732949,153.90626343854814,201.96632837361312,88.42419583727524,204.60673432527736,38.25648275565487,178.7307559989679
labeled-data/v00165/img05.png,185.06305366818606,176.6184312376365,157.07475058054524,202.49440956394596,94.76117012126939,207.2471402769416,53.042756084974556,182.95540552163067
labeled-data/v00165/img06.png,177.14183581319338,175.034187666638,161.8274812935408,200.91016599294744,109.01936226025624,214.1121957512686,65.71670465296286,188.76429861529198
labeled-data/v00165/img08.png,159.71515653220945,162.88832028898253,161.29940010320797,200.91016599294744,117.9967424959146,231.5388750322525,79.97489679194972,183.4834867119635
labeled-data/v00165/img11.png,134.36725939623284,166.0568074309796,156.0185881998795,193.51702932828758,139.11999010922847,236.81968693558093,95.28925131160223,199.3259224219489
labeled-data/v00165/img15.png,153.3781822482153,132.7876924400103,145.45696439322262,179.7869183796336,149.68161391588535,233.12311860325104,103.21046916659493,254.7744474068977
labeled-data/v00165/img16.png,163.4117248645394,127.50688053668185,146.5131267738883,164.47256385998105,147.04120796422114,208.30330265760728,115.88441773458324,265.8641524038875
labeled-data/v00165/img21.png,204.07397652016851,121.1699062526877,169.74869914853355,135.95617958200737,121.69331082824455,171.8657005246409,140.704233680227,238.93201169691235
labeled-data/v00165/img24.png,213.05135675582693,104.27130816203663,189.28770319084884,131.20344886901177,134.36725939623284,149.68629053066138,109.54744345058909,197.2135976606175
labeled-data/v00165/img27.png,209.88286961382983,81.56381697772423,206.71438247183278,124.86647458501761,158.13091296121092,158.66367076631974,108.4912810699234,167.11296981164529
labeled-data/v00165/img28.png,207.77054485249846,73.11451793239871,209.35478842349698,115.88909434935923,169.22061795820065,160.2479143373183,116.94058011524892,158.66367076631974
labeled-data/v00165/img32.png,219.38833103982103,55.68783865141478,208.2986260428313,95.82200911671109,204.60205771050136,153.3828588629913,153.90626343854814,172.9218629053066
labeled-data/v00165/img35.png,247.90471531779474,50.93510793841915,218.33216865915534,67.3056248387374,200.90548937817147,122.75414982368622,192.98427152317873,184.5396490926292
labeled-data/v00165/img37.png,260.57866388578304,57.2720822224133,217.27600627848966,63.609056506407455,194.56851509417731,110.08020125569792,203.54589532983567,177.14651242796936
labeled-data/v00165/img43.png,286.4546422120925,52.51935150941773,252.12936484045753,62.02481293540893,203.54589532983567,64.13713769674035,179.7822417648576,122.22606863335338
labeled-data/v00165/img46.png,297.5443472090823,36.67691579943232,266.38755697944435,60.44056936441041,210.41095080416267,65.72138126773888,164.46788724520508,94.7658467360454
labeled-data/v00165/img47.png,300.1847531607465,29.81186032510533,269.5560441214414,57.2720822224133,216.21984389782398,71.53027436140019,162.35556248387365,90.0131160230498
labeled-data/v00165/img55.png,329.22921862905304,21.890642470112653,286.98272340242534,38.2611593704309,252.65744603079037,73.11451793239871,194.04043390384447,81.03573578739139
labeled-data/v00165/img56.png,335.0381117227143,24.53104842177686,290.1512105444224,33.508428657435275,255.82593317278742,71.53027436140019,197.73700223617436,86.8446288810527
