scorer,jamie,jamie,jamie,jamie,jamie,jamie,jamie,jamie
bodyparts,eyes,eyes,swimbladder,swimbladder,midtail,midtail,endtail,endtail
coords,x,y,x,y,x,y,x,y
labeled-data/16-Aug-20_00110_WT_lower_mag/img003.png,285.3919880610755,330.1998690742671,281.5910332242583,316.54458688273866,276.24154123170075,299.93300648479686,271.17360144927784,281.77288893111466
labeled-data/16-Aug-20_00110_WT_lower_mag/img024.png,285.8343983583885,328.99544286396707,280.89748864298974,315.4452013046812,276.48578208880366,299.89918773278725,269.6581409930394,279.5213050777371
labeled-data/16-Aug-20_00110_WT_lower_mag/img025.png,285.1311036782277,329.20748416499197,281.59004318922706,316.69573710385635,276.75059385425953,301.587212350787,270.25864962442506,281.63923826275004
labeled-data/16-Aug-20_00110_WT_lower_mag/img037.png,283.0732621272791,329.72503127187514,282.94764652583444,315.40485270718267,275.4107104391542,297.5674373020394,269.2555459683653,280.23248430267483
labeled-data/16-Aug-20_00110_WT_lower_mag/img073.png,272.58181406638016,340.70611974261396,275.4698900064917,326.9533771706543,277.39527396656604,311.96288776721826,287.4347760440966,295.5971241065863
labeled-data/16-Aug-20_00110_WT_lower_mag/img082.png,266.42965408254133,343.10888630390264,273.5507592127151,332.13051589488475,282.4521406254323,317.88830563453723,277.25966813468057,298.75033559719526
labeled-data/16-Aug-20_00110_WT_lower_mag/img104.png,270.80810065756566,354.86283559146096,269.68730628260676,341.5378358002827,268.6910446159766,325.72218184252915,281.8915116988261,310.9027895514057
labeled-data/16-Aug-20_00110_WT_lower_mag/img110.png,267.36938358477914,358.4670287491187,271.14218320058285,344.9720147387438,270.70686016799016,329.15527788787426,272.88347533095384,308.84020303354646
labeled-data/16-Aug-20_00110_WT_lower_mag/img208.png,278.5144458969141,396.2254325458506,271.86764795150555,384.75434576909714,268.11542330490397,366.8508738838838,273.2613313916719,347.8753378139272
labeled-data/16-Aug-20_00110_WT_lower_mag/img241.png,277.48079436750135,408.3215327423093,275.21754775526546,393.3126341559029,275.81313896901173,377.3507896275025,261.2807133536024,363.7713099540872
labeled-data/16-Aug-20_00110_WT_lower_mag/img279.png,280.34437878473375,419.57845574753077,280.8695819459464,405.8181329237598,278.0334848753982,388.38138797150043,260.1765773941687,376.8269184248225
labeled-data/16-Aug-20_00110_WT_lower_mag/img288.png,281.3959676264416,421.42587140326015,279.5767071917257,407.3915766211659,279.1868656700008,383.6112437959506,267.23172567043906,377.37377944835316
labeled-data/16-Aug-20_00110_WT_lower_mag/img290.png,282.58826380950387,422.8250451115241,279.4305474835327,409.37551261201713,279.0796901139803,390.19530974315495,269.0217788534794,375.6932051349909
labeled-data/16-Aug-20_00110_WT_lower_mag/img294.png,284.1952089712366,423.5144690137633,278.0617023627658,410.1039206664288,278.0617023627658,392.8469359714092,273.17568862381444,372.3672613634642
labeled-data/16-Aug-20_00110_WT_lower_mag/img334.png,283.5658986316473,432.7230996902555,282.8122050229793,418.27730552411833,282.4353582186453,398.8068873001943,269.4969512698442,389.00887038751
labeled-data/16-Aug-20_00110_WT_lower_mag/img369.png,285.70489354631803,440.5139525547525,285.9193063832667,426.2554988976665,281.2022239703961,410.9249810558371,269.08789868279666,392.37827065977785
labeled-data/16-Aug-20_00110_WT_lower_mag/img405.png,290.4280964710797,445.9233718523441,286.0683687864569,434.2974313600166,278.2737041381919,419.10444094390687,286.8610465472974,401.0049654047152
labeled-data/16-Aug-20_00110_WT_lower_mag/img407.png,290.11832190055844,447.62200882287965,286.2144922177305,434.68360187407853,278.62990883395054,420.741353006836,286.32603020866844,400.55297664706876
labeled-data/16-Aug-20_00110_WT_lower_mag/img413.png,289.7647134410451,449.29369258376045,287.75486381793036,436.35528563495933,281.97654615147553,422.03510707026686,281.34846814425214,400.05237681744944
labeled-data/16-Aug-20_00110_WT_lower_mag/img430.png,287.9129377869079,452.7488255040142,286.9004327235392,438.9419382762594,286.6242949789841,419.0600206682925,272.90945366608105,407.7383731415336
