scorer,jamie,jamie,jamie,jamie,jamie,jamie,jamie,jamie
bodyparts,eyes,eyes,swimbladder,swimbladder,midtail,midtail,endtail,endtail
coords,x,y,x,y,x,y,x,y
labeled-data/06-Aug-20_00075_WT_10X/img004.png,500.62982027538476,690.2116656866604,460.08946204970846,671.5404880673638,409.0248852501615,647.6808029963781,356.67920809289114,626.8243222540282
labeled-data/06-Aug-20_00075_WT_10X/img067.png,501.475771842226,691.3646421261037,459.9028283145378,670.8979622355496,409.69550420802216,650.4312823449955,358.8485963549267,626.7666837215422
labeled-data/06-Aug-20_00075_WT_10X/img112.png,503.04666269834274,690.0721116798433,460.5201275276669,670.1806678096883,413.8781212114416,651.6610476547166,357.97630481773047,625.5963970662378
labeled-data/06-Aug-20_00075_WT_10X/img200.png,502.45386978942156,690.2075205410945,462.1235508189204,671.337371298016,412.54315869004745,651.7272162022678,357.04271973981656,625.0870055061569
labeled-data/06-Aug-20_00075_WT_10X/img257.png,503.15468328860766,691.010550290176,461.2345371556334,671.7408056967927,409.51048587865705,650.104601241064,359.4767630747845,626.10193692299
labeled-data/06-Aug-20_00075_WT_10X/img260.png,503.47555080217705,691.2506590961548,460.7142476928617,671.0195049369088,408.75696542025275,650.3285518194982,356.7996831476438,625.9592070367701
labeled-data/06-Aug-20_00075_WT_10X/img264.png,502.8833761103424,690.3558818230814,461.0622266354862,672.6303615158575,412.04008453582026,651.3043448962289,357.2017560853465,625.5469481997943
labeled-data/06-Aug-20_00075_WT_10X/img282.png,497.4151825519399,662.0395080595632,461.74285593198397,683.6190636691663,415.9413501483367,665.122301718078,387.3154090335572,626.8075805336807
labeled-data/06-Aug-20_00075_WT_10X/img284.png,480.2292095712877,642.369219576429,468.00767786521396,685.1445805476872,422.940779699067,682.8530433527983,401.5530992134379,630.1476878703552
labeled-data/06-Aug-20_00075_WT_10X/img299.png,515.3836994950531,588.2379029940755,481.8311361494759,603.6390796117175,446.0784047156642,627.2908865602391,454.87907706860244,686.1453829205138
labeled-data/06-Aug-20_00075_WT_10X/img320.png,573.2463720397157,504.6833563724739,533.7361180346,522.296361169935,493.27380971610813,548.0018276310946,505.65051578999976,603.2209778069189
labeled-data/06-Aug-20_00075_WT_10X/img323.png,580.3578606025071,492.9547265489608,542.7923660926749,519.4353210394984,497.8369382366462,540.3734655203884,491.0628326692993,595.1821378380125
labeled-data/06-Aug-20_00075_WT_10X/img369.png,637.3476016531084,458.5234991076369,599.3606345493947,479.7781116537624,554.1380546640214,494.2493372170818,498.51428140501224,515.9561755620609
labeled-data/06-Aug-20_00075_WT_10X/img393.png,656.9489083021488,454.79138570046837,615.1420598614258,463.9684987728223,572.3155321904412,486.9112814537068,525.9201272135413,528.7181298944298
labeled-data/06-Aug-20_00075_WT_10X/img444.png,687.4234725830831,443.6781247104682,647.5317206178335,456.5246211060571,600.202523370927,469.371117501646,546.1120122316054,492.35958473585765
labeled-data/06-Aug-20_00075_WT_10X/img458.png,697.2754926986491,444.54726420060604,652.6142733660471,455.54079511324653,596.2724274387645,466.5343260258871,551.6112081061624,490.5826748972882
labeled-data/06-Aug-20_00075_WT_10X/img463.png,698.3015653557156,445.7761340245272,653.1871734604988,456.1524441604271,601.7567666999514,466.528754296327,550.7775038583563,484.12336713546165
labeled-data/06-Aug-20_00075_WT_10X/img498.png,700.4567817972917,443.12906947476137,655.2838954674257,455.4090774090938,605.2867203062149,468.12765705536674,548.272397753957,478.6533781419375
labeled-data/06-Aug-20_00075_WT_10X/img528.png,700.9182464519197,444.2097859847288,659.1468634525354,456.86778083302704,608.5148840593423,471.2135083277651,549.4442414339503,483.44957001445346
labeled-data/06-Aug-20_00075_WT_10X/img589.png,701.4653685735677,444.2903427621992,656.5716801782698,457.2858841397854,606.3616339466867,470.28142551737164,551.4259363050721,482.68626046870395
